method,label,low_power,low_ratio,mid_power,mid_ratio,high_power,high_ratio
bm3d,VST + BM3D,0.10721657907248847,16.167448715425667,0.0012842976413652083,0.1973358407335312,0.00024130448417183313,0.0371693523660316
noise2void,noise2void,0.9919282968595958,149.57528031071715,0.002651269964559845,0.4073748719975736,0.0002593116605832234,0.03994308897799568
poisson_tv,poisson_tv,0.11768659255440077,17.74624751204283,0.0016612185124709555,0.2552507621163087,0.0003302702763320391,0.05087320405768603
purelet_swt,purelet_swt,0.02389257378257928,3.6028193089501213,0.0018093259404961292,0.2780078729791795,0.0007343806958976198,0.11312037931811193
wiener,Wiener,0.12096827343431575,18.24110015316331,0.001896949344397334,0.29147144832681765,0.0006165354350311184,0.09496807675028052
